"","dense","dilute"
"1",1108.288832,9.4230456
"2",1247.97053034,9.54214322
"3",1175.47250898,8.87998712
"4",1207.18742898,8.44459746
"5",1251.5443161,9.59881102
"6",1016.00446254,7.0908561
"7",1156.70341932,8.95027424
"8",1117.34206068,8.77341356
"9",1209.85867288,8.07273288
"10",1301.82422644,9.88229288
"11",1265.12282576,9.38794966
"12",1260.68054644,13.29959932
"13",1059.32732898,10.43558966
"14",557.51910254,9.30290034
"15",1153.7283122,11.00702966
"16",928.44033034,7.14980966
"17",1274.20010254,11.25874898
"18",1356.47155746,11.8619039
"19",1378.28832712,9.49904712
"20",1387.05721678,11.08865034
"21",1299.83552,9.58976322
"22",1164.56071932,12.26100712
"23",1145.79615356,9.53533356
"24",1275.38603102,10.5671161
